,doi,pubmed_id,title,subtype,creator,affilname,publicationName,aggregationType,abstract,include?,proc_pubmed_id,proc_abstract,proc_title
0,10.5755/j01.eee.18.9.2825,,The LEGO NXT robot-based e-learning environment to teach computer science topics,ar,Burbaite R.,Kaunas University of Technology,Elektronika ir Elektrotechnika,Journal,"It is difficult to motivate learners to learn abstract Computer Science topics (e.g., data structures, algorithms and programming) with the adequate level of engagement. We present the process of constructing a LEGO robot, called the DRAWBOT (drawing robot), which enables to create the e-learning environment to demonstrate visually the solution of graph-based Computer Science tasks through teaching programming. Our research has confirmed the importance of using robot-based environments for teaching that was known so far in the literature on e-learning. We have extended the known approaches: a) by providing technical characteristics for the process to create the e-learning environment for the real setting; b) by smoothly integrating different phases of the process and considering it into entirety to support the constructivist learning model.

DOI: http://dx.doi.org/10.5755/j01.eee.18.9.2825",SI,0,difficult motivate learners learn abstract computer science topics eg data structures algorithms programming adequate level engagement present process constructing lego robot called drawbot drawing robot enables create learning environment demonstrate visually solution graphbased computer science tasks teaching programming research confirmed importance using robotbased environments teaching known far literature learning extended known approaches providing technical characteristics process create learning environment real setting b smoothly integrating different phases process considering entirety support constructivist learning model doi httpdxdoiorgjeee,lego nxt robotbased learning environment teach computer science topics
1,10.1080/03043797.2012.725711,,Embedded C programming: A practical course introducing programmable microprocessors,ar,Laverty D.,Queen's University Belfast,European Journal of Engineering Education,Journal,"This paper presents a new laboratory-based module for embedded systems teaching, which addresses the current lack of consideration for the link between hardware development, software implementation, course content and student evaluation in a laboratory environment. The course introduces second year undergraduate students to the interface between hardware and software and the programming of embedded devices; in this case, the PIC (originally peripheral interface controller, later rebranded programmable intelligent computer) microcontroller. A hardware development board designed for use in the laboratories of this module is presented. Through hands on laboratory experience, students are encouraged to engage with practical problem-solving exercises and develop programming skills across a broad range of scenarios.",NO,0,paper presents new laboratorybased module embedded systems teaching addresses current lack consideration link hardware development software implementation course content student evaluation laboratory environment course introduces second year undergraduate students interface hardware software programming embedded devices case pic originally peripheral interface controller later rebranded programmable intelligent computer microcontroller hardware development board designed use laboratories module presented hands laboratory experience students encouraged engage practical problemsolving exercises develop programming skills across broad range scenarios,embedded c programming practical course introducing programmable microprocessors
2,10.1016/j.eswa.2012.04.038,,Adaptability analysis of genetic network programming with reinforcement learning in dynamically changing environments,ar,Mabu S.,Waseda University,Expert Systems with Applications,Journal,"Genetic network programming (GNP) has been proposed as one of the evolutionary algorithms and extended with reinforcement learning (GNP-RL). The combination of evolution and learning can efficiently evolve programs and the fitness improvement has been confirmed in the simulations of tileworld problems, elevator group supervisory control systems, stock trading models and wall following behavior of Khepera robot. However, its adaptability in testing environments, where the situations dynamically change, has not been analyzed in detail yet. In this paper, the adaptation mechanism in the testing environment is introduced and it is confirmed that GNP-RL can adapt to the environmental changes using a robot simulator WEBOTS, especially when unexperienced sensor troubles suddenly occur. The simulation results show that GNP-RL works well in the testing even if wrong sensor information is given because GNP-RL has a function to automatically change programs using alternative actions. In addition, the analysis on the effects of the parameters of GNP-RL is carried out in both training and testing simulations.

Highlights

âº We proposed an adaptive learning mechanism using reinforcement learning. âº The adaptability is examined when some sensors are suddenly broken. âº Faulty sensors are indirectly detected through the changes of Q values. âº The size of Q table is compact, so the quick recovery from troubles is possible.",NO,0,genetic network programming gap proposed one evolutionary algorithms extended reinforcement learning gnprl combination evolution learning efficiently evolve programs fitness improvement confirmed simulations tileworld problems elevator group supervisory control systems stock trading models wall following behavior khepera robot however adaptability testing environments situations dynamically change analyzed detail yet paper adaptation mechanism testing environment introduced confirmed gnprl adapt environmental changes using robot simulator webots especially inexperienced sensor troubles suddenly occur simulation results show gnprl works well testing even wrong sensor information given gnprl function automatically change programs using alternative actions addition analysis effects parameters gnprl carried training testing simulations highlights proposed adaptive learning mechanism using reinforcement learning adaptability examined sensors suddenly broken faulty sensors indirectly detected changes q values size q table compact quick recovery troubles possible,adaptability analysis genetic network programming reinforcement learning dynamically changing environments
3,10.1080/01691864.2012.703167,,Learning manipulation tasks from human demonstration and 3D shape segmentation,ar,Aleotti J.,UniversitÃ  di Parma,Advanced Robotics,Journal,"According to neuro-psychology studies, 3D shape segmentation plays an important role in human perception of objects because when an object is perceived for grasping it is first parsed in its constituent parts. This capability is missing in current robot planning systems, which are therefore hindered in their ability to plan part-specific grasps suitable for the current task. In this paper, a novel approach for part-based grasping is presented that combines 3D shape segmentation, programing by human demonstration and manipulation planning. The central advantage over previous approaches is the use of a topological method for shape segmentation enabling both object categorization and robot grasping according to the affordances of an object. Manipulation tasks are demonstrated in a virtual reality environment using a data glove and a motion tracker, and the specific parts of the objects where grasping occurs are learned and encoded in the task description. Tasks are then planned and executed in a robot environment targeting semantically relevant parts for grasping. Planning in the robot environment can be generalized to objects that are similar to the ones used for task demonstration, i.e. objects that belong to the same category. Results obtained in 3D simulation confirm that the proposed approach finds with less effort grasps appropriate for the requested task.",NO,0,according neuropsychology studies d shape segmentation plays important role human perception objects object perceived grasping first parsed constituent parts capability missing current robot planning systems therefore hindered ability plan partspecific grass suitable current task paper novel approach partbased grasping presented combines d shape segmentation programming human demonstration manipulation planning central advantage previous approaches use topological method shape segmentation enabling object categorization robot grasping according affordances object manipulation tasks demonstrated virtual reality environment using data glove motion tracker specific parts objects grasping occurs learned encoded task description tasks planned executed robot environment targeting semantically relevant parts grasping planning robot environment generalized objects similar ones used task demonstration ie objects belong category results obtained d simulation confirm proposed approach finds less effort grass appropriate requested task,learning manipulation tasks human demonstration d shape segmentation
4,10.5772/50827,,Combining vision learning and interaction for mobile robot path planning,ar,Bao J.,Yangzhou University;Southeast University,International Journal of Advanced Robotic Systems,Journal,"This paper addresses the question of how to make a robot learn natural terrain selectively and use the knowledge to estimate the terrain for planning an optimal path. A scheme which combines vision learning and interaction is proposed. The vision learning module employs an online boosting learning algorithm to constantly receive and learn the terrain samples each of which comprise the visual features extracted from the sub terrain region image and the traversability measured by the onboard Inertia Measurement Unit (IMU). Using this knowledge, the robot could estimate the new terrains and search for the optimal path to travel using the particle swarm optimization method. To overcome the shortcoming that the robot could not understand the intricate environment exactly, the vision interaction method, which complements the robot's capacity of terrain estimation with the human reasoning ability of path correction, is further applied. Experimental results show the effectiveness of the proposed method.",NO,0,paper addresses question make robot learn natural terrain selectively use knowledge estimate terrain planning optimal path scheme combines vision learning interaction proposed vision learning module employs online boosting learning algorithm constantly receive learn terrain samples comprise visual features extracted sub terrain region image traversability measured onboard inertia measurement unit im using knowledge robot could estimate new terrain search optimal path travel using particle swarm optimization method overcome shortcomings robot could understand intricate environment exactly vision interaction method complements robot capacity terrain estimation human reasoning ability path correction applied experimental results show effectiveness proposed method,combining vision learning interaction mobile robot path planning
5,10.1007/s11370-012-0118-y,,Caesar: An intelligent domestic service robot,ar,Schiffer S.,Rheinisch-WestfÃ¤lische Technische Hochschule Aachen,Intelligent Service Robotics,Journal,"In this paper we present CAESAR, an intelligent domestic service robot. In domestic settings for service robots complex tasks have to be accomplished. Those tasks benefit from deliberation, from robust action execution and from flexible methods for humanârobot interaction that account for qualitative notions used in natural language as well as human fallibility. Our robot CAESAR deploys AI techniques on several levels of its system architecture. On the low-level side, system modules for localization or navigation make, for instance, use of path-planning methods, heuristic search, and Bayesian filters. For face recognition and humanâmachine interaction, random trees and well-known methods from natural language processing are deployed. For deliberation, we use the robot programming and plan language READYLOG, which was developed for the high-level control of agents and robots; it allows combining programming the behaviour using planning to find a course of action. READYLOG is a variant of the robot programming language Golog. We extended READYLOG to be able to cope with qualitative notions of space frequently used by humans, such as ânearâ and âfarâ. This facilitates humanârobot interaction by bridging the gap between human natural language and the numerical values needed by the robot. Further, we use READYLOG to increase the flexible interpretation of human commands with decision-theoretic planning. We give an overview of the different methods deployed in CAESAR and show the applicability of a system equipped with these AI techniques in domestic service robotics.",NO,0,paper present cesar intelligent domestic service robot domestic settings service robots complex tasks accomplished tasks benefit deliberation robust action execution flexible methods humanrobot interaction account qualitative notions used natural language well human fallibility robot cesar deploys ai techniques several levels system architecture lowlevel side system modules localization navigation make instance use pathplanning methods heuristic search bayesian filters face recognition humanmachine interaction random trees wellknown methods natural language processing deployed deliberation use robot programming plan language readylog developed highlevel control agents robots allows combining programming behaviour using planning find course action readylog variant robot programming language goog extended readylog able cope qualitative notions space frequently used humans near far facilitates humanrobot interaction bridging gap human natural language numerical values needed robot use readylog increase flexible interpretation human commands decisiontheoretic planning give overview different methods deployed cesar show applicability system equipped ai techniques domestic service robotics,cesar intelligent domestic service robot
6,10.1016/j.rcim.2012.02.007,,Task-oriented motion planning for multi-arm robotic systems,ar,Basile F.,UniversitÃ  degli Studi di Salerno,Robotics and Computer-Integrated Manufacturing,Journal,"In this paper a task-oriented motion planning approach for general cooperative multi-robot systems is proposed. In order to derive a meaningful task formulation, a taxonomy of cooperative multi-arm systems of industrial interest is devised. Then, a workpiece-oriented general formulation for cooperative tasks is proposed, where the user is asked to specify the motion of the system only at the workpiece level, while the motion of the single arms in the system is computed via kinematic transformations between the relevant coordinate frames. Based on this task formulation, an instructions set is derived to extend classical programming languages for industrial robots to general multi-robot systems. In order to test the approach, a software environment has been built, composed of an interpreter of the language and the motion planning software.

Highlights

âº A taxonomy of cooperative multi-arm systems of industrial interest is devised. âº A workpiece-oriented general formulation for multi-arm cooperative tasks is developed. âº An instructions set is derived to extend robot programming languages to multi-arm systems.",NO,0,paper taskoriented motion planning approach general cooperative multirobot systems proposed order derive meaningful task formulation taxonomy cooperative multiarm systems industrial interest devised workpieceoriented general formulation cooperative tasks proposed user asked specify motion system workpiece level motion single arms system computed via cinematic transformations relevant coordinate frames based task formulation instructions set derived extend classical programming languages industrial robots general multirobot systems order test approach software environment built composed interpreter language motion planning software highlights taxonomy cooperative multiarm systems industrial interest devised workpieceoriented general formulation multiarm cooperative tasks developed instructions set derived extend robot programming languages multiarm systems,taskoriented motion planning multiarm robotic systems
7,10.1007/978-3-642-32060-6_13,,Learning visual obstacle detection using color histogram features,ar,Metzler S.,UniversitÃ¤t Bonn,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Book Series,"Perception of the environment is crucial in terms of successfully playing soccer. Especially the detection of other players improves game play skills, such as obstacle avoidance and path planning. Such information can help refine reactive behavioral strategies, and is conducive to team play capabilities. Robot detection in the RoboCup Standard Platform League is particularly challenging as the Nao robots are limited in computing resources and their appearance is predominantly white in color like the field lines.

This paper describes a vision-based multilevel approach which is integrated into the B-Human Software Framework and evaluated in terms of speed and accuracy. On the basis of color segmented images, a feed-forward neural network is trained to discriminate between robots and non-robots. The presented algorithm initially extracts image regions which potentially depict robots and prepares them for classification. Preparation comprises calculation of color histograms as well as linear interpolation in order to obtain network inputs of a specific size. After classification by the neural network, a position hypothesis is generated.",NO,0,perception environment crucial terms successfully playing soccer especially detection players improves game play skills obstacle avoidance path planning information help refine reactive behavioral strategies conducive team play capabilities robot detection robocup standard platform league particularly challenging nao robots limited computing resources appearance predominantly white color like field lines paper describes visionbased multilevel approach integrated human software framework evaluated terms speed accuracy basis color segmented images feedforward neural network trained discriminate robots nonrobots presented algorithm initially extracts image regions potentially depict robots prepares classification preparation comprises calculation color histograms well linear interpolation order obtain network inputs specific size classification neural network position hypothesis generated,learning visual obstacle detection using color histogram features
8,10.1109/JOE.2012.2205638,,COLA2: A control architecture for AUVs,ar,Palomeras N.,Universitat de Girona,IEEE Journal of Oceanic Engineering,Journal,"This paper presents a control architecture for an autonomous underwater vehicle (AUV) named the Component Oriented Layer-based Architecture for Autonomy (COLA2). The proposal implements a component-oriented layer-based control architecture structured in three layers: the reactive layer, the execution layer, and the mission layer. Concerning the reactive layer, to improve the vehicle primitives' adaptability to unknown changing environments, reinforcement learning (RL) techniques have been programmed. Starting from a learned-in-simulation policy, the RL-based primitive cableTracking has been trained to follow an underwater cable in a real experiment inside a water tank using the Ictineu AUV. The execution layer implements a discrete event system (DES) based on Petri nets (PNs). PNs have been used to safely model the primitives' execution flow by means of Petri net building block (PNBBs) that have been designed according to some reachability properties showing that it is possible to compose them preserving these qualities. The mission layer describes the mission phases using a high-level mission control language (MCL), which is automatically compiled into a PN. The MCL presents agreeable properties of simplicity and structured programming. MCL can be used to describe offline imperative missions or to describe planning operators, in charge of solving a particular phase of a mission. If planning operators are defined, an onboard planner will be able to sequence them to achieve the proposed goals. The whole architecture has been validated in a cable tracking mission divided in two main phases. First, the cableTracking primitive of the reactive layer has been trained to follow a cable in a water tank with the Ictineu AUV, one of the research platforms available in the Computer Vision and Robotics Group (VICOROB), University of Girona, Girona, Spain. Second, the whole architecture has been proved in a realistic simulation of a whole cable tracking mission.
(Show More)",NO,0,paper presents control architecture autonomous underwater vehicle au named component oriented layerbased architecture autonomy cola proposal implements componentoriented layerbased control architecture structured three layers reactive layer execution layer mission layer concerning reactive layer improve vehicle primitive adaptability unknown changing environments reinforcement learning rl techniques programmed starting learnedinsimulation policy rlbased primitive cabletracking trained follow underwater cable real experiment inside water tank using ictineu au execution layer implements discrete event system des based peri nets ns ns used safely model primitive execution flow means peri net building block pnbbs designed according reachability properties showing possible compose preserving qualities mission layer describes mission phases using highlevel mission control language mcl automatically compiled pn mcl presents agreeable properties simplicity structured programming mcl used describe offline imperative missions describe planning operators charge solving particular phase mission planning operators defined onboard planner able sequence achieve proposed goals whole architecture validated cable tracking mission divided two main phases first cabletracking primitive reactive layer trained follow cable water tank ictineu au one research platforms available computer vision robotics group vicorob university girona girona spain second whole architecture proved realistic simulation whole cable tracking mission show,cola control architecture aus
9,10.1177/0278364912438781,,Learning to place new objects in a scene,ar,Jiang Y.,Cornell University,International Journal of Robotics Research,Journal,"Placing is a necessary skill for a personal robot to have in order to perform tasks such as arranging objects in a disorganized room. The object placements should not only be stable but also be in their semantically preferred placing areas and orientations. This is challenging because an environment can have a large variety of objects and placing areas that may not have been seen by the robot before. In this paper, we propose a learning approach for placing multiple objects in different placing areas in a scene. Given point-clouds of the objects and the scene, we design appropriate features and use a graphical model to encode various properties, such as the stacking of objects, stability, objectâarea relationship and common placing constraints. The inference in our model is an integer linear program, which we solve efficiently via an linear programming relaxation. We extensively evaluate our approach on 98 objects from 16 categories being placed into 40 areas. Our robotic experiments show a success rate of 98% in placing known objects and 82% in placing new objects stably. We use our method on our robots for performing tasks such as loading several dish-racks, a bookshelf and a fridge with multiple items.",NO,0,placing necessary skill personal robot order perform tasks arranging objects disorganized room object placements stable also semantically preferred placing areas orientations challenging environment large variety objects placing areas may seen robot before paper propose learning approach placing multiple objects different placing areas scene given pointclouds objects scene design appropriate features use graphical model encode various properties stacking objects stability objectarea relationship common placing constraints inference model integer linear program solve efficiently via linear programming relaxation extensively evaluate approach objects categories placed areas robotic experiments show success rate placing known objects placing new objects stable use method robots performing tasks loading several dishracks bookshelf fridge multiple items,learning place new objects scene
