cuit,razon_social,fecha_hora_contrato_social,tipo_societario,fecha_hora_actualizacion,numero_inscripcion,dom_fiscal_provincia,dom_fiscal_localidad,dom_fiscal_calle,dom_fiscal_numero,dom_fiscal_piso,dom_fiscal_departamento,dom_fiscal_cp,dom_fiscal_estado_domicilio,dom_legal_provincia,dom_legal_localidad,dom_legal_calle,dom_legal_numero,dom_legal_piso,dom_legal_departamento,dom_legal_cp,dom_legal_estado_domicilio
34520358279,REPUBLICA DE BARRACAS SRL,1992-08-10-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-23-14:31,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MONTES DE OCA MANUEL,1800,,, 1270,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MONTES DE OCA,1800,,, 1271,NO CONFIRMADO
34521049032,DIECIOCHO DE AGOSTO SOCIEDAD ANONIMA,1983-10-28-00:00,SOCIEDAD ANONIMA,,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CERRITO,512,04,, 1010,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CERRITO,512,04,, 1010,NO CONFIRMADO
34521138574,FARADIO S A,1978-07-01-00:00,SOCIEDAD ANONIMA,,,SANTA FE,ROSARIO NORTE,SAN JUAN,2619,,, 2000,NO CONFIRMADO,SANTA FE,ROSARIO,SAN JUAN,2619,,, 2000,NO CONFIRMADO
34521225035,SUPER DOMO S A,1984-12-12-12:00,SOCIEDAD ANONIMA,,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,AVDA ALMIRANTE BROWN,791,01,C, 1155,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,AVDA ALMIRANTE BROWN,791,01,C, 1155,NO CONFIRMADO
34521323681,AEROSOLES HECSPI SACIFI Y DE M Y S,1968-08-28-00:00,SOCIEDAD ANONIMA,2021-06-07-14:09,,BUENOS AIRES,TABLADA,OMBU,5844,,, 1766,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALBERDI JUAN B. AV.,2560,10,B, 1406,DECLARADO POR INTERNET
34521456894,DAUSERVICE S A,1975-08-12-00:00,SOCIEDAD ANONIMA,2020-12-22-15:05,,BUENOS AIRES,SAN JUSTO,DR  EIZAGUIRRE,2448,,, 1754,CONFIRMADO,BUENOS AIRES,SAN JUSTO,DR  EIZAGUIRRE,2448,,, 1754,NO CONFIRMADO
34521779545,SAN ANTONIO DE GUAMINI S A A I I C Y F,1968-12-03-00:00,SOCIEDAD ANONIMA,2021-04-26-12:48,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORDOBA AV.,632,05,, 1054,NO NOTIFICADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORDOBA,632,05,, 1054,NO CONFIRMADO
34522003281,T V ESTUDIOS BUENOS AIRES S A,1988-12-26-00:00,SOCIEDAD ANONIMA,2021-04-26-12:55,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RODRIGUEZ PE#A,286,04,, 1015,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RODRIGUEZ PE#A,286,04,, 1015,NO CONFIRMADO
34522027202,ERVITI HERMANOS S R L,1971-03-15-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-22-17:34,,BUENOS AIRES,BAHIA BLANCA,DORREGO,431,,, 8000,NO NOTIFICADO,BUENOS AIRES,BAHIA BLANCA,DORREGO,431,,, 8000,NO CONFIRMADO
34522203752,ALMAFUERTE MUTUAL DE AYUDA ENTRE VECINOS COMERCIANTES E INDUSTRIALES DE ZONA OESTE,1901-01-01-00:00,ASOCIACION CIVIL,,,SANTA FE,ROSARIO NORTE,SANTA FE,4698,,, 2000,CONFIRMADO,SANTA FE,ROSARIO,SANTA FE,4698,,, 2000,NO CONFIRMADO
34522424589,BIANCHI SOCIEDAD COLECTIVA,1977-06-08-12:00,SOCIEDAD COLECTIVA,,,SANTIAGO DEL ESTERO,STGO.DEL ESTERO,AVDA BELGRANO,1481,,, 4200,NO CONFIRMADO,SANTIAGO DEL ESTERO,STGO.DEL ESTERO,AVDA BELGRANO,1481,,, 4200,NO CONFIRMADO
34522473237,AMOBLAMIENTOS JOY S A,1901-01-01-00:00,SOCIEDAD ANONIMA,2021-04-26-12:59,,BUENOS AIRES,BAHIA BLANCA,BELGRANO,261,,2, 8000,DECLARADO POR INTERNET,BUENOS AIRES,BAHIA BLANCA,ARTIGAS,1777,,, 8000,NO CONFIRMADO
34522725120,SEMINARIO DIOCESANO NUESTRA SRA DEL VALLE,1990-09-12-00:00,ASOCIACION CIVIL,2021-03-25-14:53,,CATAMARCA,SAN FERNANDO DEL VALLE DE CATAMARCA,SAN MARTIN,954,,, 4700,DECLARADO,CATAMARCA,CATAMARCA,SAN MARTIN,954,,, 4700,NO CONFIRMADO
34522771289,EDIFICIO SAN JORGE S A I Y F,1971-12-01-00:00,SOCIEDAD ANONIMA,2020-04-28-19:53,,BUENOS AIRES,QUILMES,MITRE,678,,, 1878,NO CONFIRMADO,BUENOS AIRES,QUILMES,MITRE,678,,, 1878,NO CONFIRMADO
34523179901,ESTANCIA LA BAGUALA S A,1991-03-22-00:00,SOCIEDAD ANONIMA,2021-04-26-12:43,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PERON J. D. TTE.GRAL,667,,, 1038,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PERON J. D. TTE.GRAL,667,,, 1038,NO CONFIRMADO
34523391102,RISCAM SRL,1985-10-01-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-05-04-14:35,,BUENOS AIRES,SAN VICENTE,25 DE MAYO Y RIVADAV,0,,, 1865,NO CONFIRMADO,BUENOS AIRES,SAN VICENTE,25 DE MAYO Y RIVADAV,0,,, 1865,NO CONFIRMADO
34525505539,UNISYS SUDAMERICANA SRL,1987-12-11-12:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2020-11-01-09:12,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MOREAU DE JUSTO A.AV,270,1,, 1107,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MOREAU DE JUSTO A.AV,270,1,, 1107,DECLARADO POR INTERNET
34525566503,CENTRO UNION EMPLEADOS DE COMERCIO  FILIAL 25 DE MAYO,1904-01-01-00:00,ASOCIACION CIVIL,2021-05-03-10:58,,BUENOS AIRES,25 DE MAYO,9 E 33 Y 34,1476,,, 6660,NO CONFIRMADO,BUENOS AIRES,25 DE MAYO,9 E 33 Y 34,1476,,, 6660,NO CONFIRMADO
34525844112,ROCAMORA SOCIEDAD DE RESPONSABILIDAD LIMITADA,1981-09-28-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-05-12-18:02,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LIBERTAD,293,05,, 1012,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LIBERTAD,293,05,, 1012,NO CONFIRMADO
34526111399,COOP AGRARIA DE TRES ARROYOS LTDA,1901-01-01-12:00,COOPERATIVA,,,BUENOS AIRES,TRES ARROYOS,AV SAN MARTIN,1050,,, 7500,NO CONFIRMADO,BUENOS AIRES,TRES ARROYOS,AV SAN MARTIN,1050,,, 7500,NO CONFIRMADO
34526353481,GRA-CAS S.A.,1987-11-01-00:00,SOCIEDAD ANONIMA,2020-12-22-13:05,,LA RIOJA,LA RIOJA,SAN NICOLAS DE BARI (O),438,,, 5300,CONFIRMADO,LA RIOJA,LA RIOJA,PELAGIO B. LUNA,497,,, 5300,DECLARADO
34526407956,CAVERSAZZI HNOS S A C I F I A,1970-05-05-00:00,SOCIEDAD ANONIMA,2021-04-26-13:03,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,VIAMONTE,1819,02,007, 1056,NO NOTIFICADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,VIAMONTE,1819,02,007, 1056,NO CONFIRMADO
34526521430,MENDIGOCHEA Y CIA S A,1970-04-30-00:00,SOCIEDAD ANONIMA,,,BUENOS AIRES,CAÑUELAS,RIVADAVIA,800,,, 1814,NO CONFIRMADO,BUENOS AIRES,CA#UELAS,RIVADAVIA,800,,, 1814,NO CONFIRMADO
34527346632,EL POTOSI SRL,1953-11-19-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2018-11-13-13:13,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RIVADAVIA AV.,2101,,, 1034,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RIVADAVIA AV.,2101,,, 1034,NO CONFIRMADO
34527520969,LA INSUPERABLE S A,1983-10-14-00:00,SOCIEDAD ANONIMA,2020-10-30-18:12,,BUENOS AIRES,VILLA INSUPERABLE,VITO DONATO SABIA,4547,,, 1752,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SALADILLO,2719,,, 1440,NO CONFIRMADO
34527632120,CLAUDIO CALVI#O SOC ANON COM IMPORT EXP INM Y AGROP,1961-08-21-12:00,SOCIEDAD ANONIMA,,,FORMOSA,FORMOSA,RIVADAVIA,598,,, 3600,NO CONFIRMADO,FORMOSA,FORMOSA,RIVADAVIA,598,,, 3600,NO CONFIRMADO
34527912719,JUAN NAVARRO S R L,1901-01-01-12:00,SOCIEDAD COLECTIVA,,,SALTA,SALTA,FLORIDA 202,0,,, 4400,NO CONFIRMADO,SALTA,SALTA,FLORIDA 202,0,,, 4400,NO CONFIRMADO
34528496042,INSTITUTO NUESTRA SENORA DEL ROSARIO,1993-09-22-12:00,INSTITUTO DE VIDA CONSAGRADA,2021-04-07-11:06,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CIUDAD DE LA PAZ,1839,,, 1428,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CIUDAD DE LA PAZ,1839,,, 1428,NO CONFIRMADO
34528644033,ESTANCIAS LOS PRADOS SRL,1946-12-01-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2018-11-13-13:13,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAN MARTIN,50,02,, 1004,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAN MARTIN,50,02,, 1004,NO CONFIRMADO
34528832972,PERFUMERIA AZUCENA S A,1987-04-06-00:00,SOCIEDAD ANONIMA,2018-11-13-13:13,,BUENOS AIRES,LA PLATA SUDESTE CALLE 50 AMBAS VEREDAS,70,802,,, 1900,INEXISTENTE - DESCONOCIDO,BUENOS AIRES,LA PLATA,70,802,,, 1900,NO CONFIRMADO
34528910256,EL RIOJANO SOCIEDAD DE RESPONSABILIDAD LIMITADA,1990-03-06-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-26-12:55,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,POLA,1123,,, 1440,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,POLA,1123,,, 1440,NO CONFIRMADO
34529258366,COLEGIO SAN JOSE MARCOS PAZ BS AS,1988-12-29-13:00,INSTITUTO DE VIDA CONSAGRADA,2021-04-09-19:20,,BUENOS AIRES,MARCOS PAZ,DR MARCOS PAZ,1963,,, 1727,DECLARADO,BUENOS AIRES,MARCOS PAZ,DR MARCOS PAZ,1963,,, 1727,NO CONFIRMADO
